"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000218426",1149.51199848092,1.76898407900039,0.0928233324081256,19.0575368617722,5.68907813557274e-81,7.65181009234533e-77
"ENSG00000128510",783.670050923853,-1.38544854040026,0.127261256550804,-10.8866482851926,1.33462069919586e-27,8.97532420209214e-24
"ENSG00000103811",512.498934315249,-1.18877154738967,0.114682293184544,-10.36578110168,3.54847327062684e-25,1.59089884966437e-21
"ENSG00000100591",5147.03476190615,0.508769137761892,0.0500657397715181,10.1620217754442,2.92937902305401e-24,9.85003696501912e-21
"ENSG00000065534",4039.07476235525,-0.551754303513417,0.0552279944151368,-9.99048235150456,1.67763389696872e-23,4.51283518284585e-20
"ENSG00000089280",17835.589777864,-0.482394700005924,0.0496337302711059,-9.71909017055581,2.50005306695543e-22,5.60428562509176e-19
"ENSG00000126878",1604.66272291807,-0.653319006186046,0.0723052289911361,-9.03557066759496,1.6314891995163e-19,3.13478996192775e-16
"ENSG00000140795",935.801306114744,-0.852591905046596,0.0956500440635139,-8.91365930245108,4.93753832650207e-19,8.3012363114316e-16
"ENSG00000154864",4941.25615420646,-0.672478224803849,0.0772609808282563,-8.70398249665899,3.20436487117096e-18,4.78874527969438e-15
"ENSG00000120694",5030.86916659388,0.486675791833771,0.0563598544813126,8.63514990080641,5.8650077723754e-18,7.88843545384492e-15
"ENSG00000006747",427.45311429004,-1.05360723183377,0.124713700261799,-8.44820761169006,2.95809007881943e-17,3.61693741455648e-14
"ENSG00000115380",1985.67769348508,-0.959931748364249,0.114073599973206,-8.41502107928324,3.92824267776208e-17,4.40290533465833e-14
"ENSG00000204054",3029.77609960172,-0.552393962545662,0.0665663841506189,-8.29839219290878,1.05529803619849e-16,1.09182758360536e-13
"ENSG00000091986",1359.62936262869,-0.655517985873415,0.0807071674436665,-8.12217807459252,4.57890815376368e-16,4.3990224762944e-13
"ENSG00000100342",1862.65800846387,0.551638721677155,0.0697903687715108,7.90422419865963,2.69607399651959e-15,2.4174796835459e-12
"ENSG00000143847",418.42214122571,1.08619883462111,0.13757265449607,7.89545595816164,2.89255804980486e-15,2.43155661061721e-12
"ENSG00000134107",2212.29406507615,0.628235733072162,0.0823993790784001,7.62427751396547,2.45404920876352e-14,1.94158599163937e-11
"ENSG00000132326",391.781479035785,0.972139088287982,0.128915009011042,7.54093022795133,4.66630744736889e-14,3.48676862039509e-11
"ENSG00000150782",432.666434018327,-0.979599744207467,0.130374697865513,-7.51372590115581,5.74678436553209e-14,4.02700710983221e-11
"ENSG00000268879",202.35381791604,-1.28872304012993,0.171638842827077,-7.50834146224286,5.98811466146053e-14,4.02700710983221e-11
"ENSG00000049246",1149.84587172906,0.78166228597595,0.104412531734269,7.48628802494022,7.08488246993194e-14,4.53769853431355e-11
"ENSG00000173559",1391.45982989582,-0.671523374922211,0.0899559934307913,-7.46502094314432,8.328636447713e-14,5.09182546462454e-11
"ENSG00000168495",3443.54878483429,0.43889123683545,0.0597490739831992,7.34557387381203,2.04878132245239e-13,1.19809168639064e-10
"ENSG00000100815",1620.23075458652,0.545473091395076,0.0749914823916496,7.27380062373345,3.49511729750343e-13,1.95872198547588e-10
"ENSG00000117525",1592.35929679955,0.67401735081317,0.0927990957910846,7.26318877428032,3.78069715367835e-13,2.03401506867895e-10
"ENSG00000133858",8030.19075722438,0.325422387485029,0.0452689300610563,7.18864764521973,6.54362011895454e-13,3.38506502307456e-10
"ENSG00000152217",464.566280071662,-0.825710137965419,0.117456253835572,-7.02993762359676,2.06625889669481e-12,1.02930304298315e-09
"ENSG00000124253",289.513595922067,1.22883820570875,0.175823191936551,6.98905640475577,2.76741154031305e-12,1.32934590061466e-09
"ENSG00000143375",85.9046701078123,-2.10459975937644,0.302015250904611,-6.96852146728564,3.20289114282643e-12,1.48547882313846e-09
"ENSG00000106261",3840.86601097827,0.35551746178392,0.0511486532177388,6.95067102295909,3.63552765640314e-12,1.62992823262074e-09
"ENSG00000096746",16777.5986326122,0.345192176524143,0.050082774932056,6.89243311682396,5.48460813974588e-12,2.37961224127684e-09
"ENSG00000105767",671.881705058866,-0.773663847339305,0.11505590351039,-6.72424294394801,1.76507723275207e-11,7.41884024391105e-09
"ENSG00000272734",370.142674052702,1.11160911583554,0.166644182210964,6.67055459774946,2.54838544997517e-11,1.03866013036867e-08
"ENSG00000183801",677.686688839271,-0.742943571968341,0.111494145900006,-6.66352090480742,2.67343998531498e-11,1.05758140595549e-08
"ENSG00000004478",4176.3310994769,0.470378482025476,0.071365469087359,6.59112156118082,4.36516279712481e-11,1.67746970346653e-08
"ENSG00000065183",2553.50338926134,0.380603732243414,0.0578650719584588,6.57743470044673,4.78633941953354e-11,1.78822958868684e-08
"ENSG00000198231",11203.9030936138,-0.302799077820292,0.0461068875310202,-6.56732852801162,5.12259467534813e-11,1.86213238874141e-08
"ENSG00000132510",743.951270983626,0.691912626030153,0.105528813389737,6.55662281991929,5.50399906773518e-11,1.94812598581679e-08
"ENSG00000104419",3166.58099808148,0.624366603334383,0.0960470825345147,6.50063059552086,7.99840186770574e-11,2.7584232082216e-08
"ENSG00000106829",554.747572023078,-0.802849636480347,0.125641743436176,-6.38999121250003,1.65895288040651e-10,5.5782290603669e-08
"ENSG00000136205",4371.94499649574,-0.413417950346607,0.064971974037455,-6.36301969381876,1.97825314218494e-10,6.48963530789937e-08
"ENSG00000146674",1006.75889693356,0.844370892254113,0.13436708848398,6.28406034380051,3.29842578403073e-10,1.03171690221426e-07
"ENSG00000004660",1049.0731605863,0.569469749425052,0.090587041039596,6.28643725294145,3.24834219570798e-10,1.03171690221426e-07
"ENSG00000168615",4633.41047434954,-0.339861477613106,0.0548373865064934,-6.19762354234118,5.73220420937561e-10,1.75223060491141e-07
