Geneid,NCAPD3 Knockdown1,NCAPD3 Knockdown2,NCAPD3 Knockdown3,Wild.Type1,Wild Type2,Wild Type3
ENSG00000279928,0,0,0,0,0,0
ENSG00000228037,0,11,13,13,13,8
ENSG00000142611,2,8,11,7,7,9
ENSG00000284616,0,0,0,0,0,0
ENSG00000157911,494,591,570,521,521,496
ENSG00000269896,41,61,34,63,63,57
ENSG00000228463,5,8,2,4,4,2
ENSG00000260972,0,0,0,0,0,0
ENSG00000224340,0,0,0,0,0,0
ENSG00000226374,0,0,0,0,0,0
ENSG00000229280,0,0,0,0,0,0
ENSG00000142655,664,811,645,640,640,649
ENSG00000232596,0,0,0,0,0,0
ENSG00000235054,0,0,0,0,0,0
ENSG00000231510,0,0,0,0,0,0
ENSG00000149527,227,645,526,595,595,657
ENSG00000284739,0,0,0,0,0,0
ENSG00000171621,346,313,311,257,257,255
ENSG00000272235,0,0,0,0,0,0
ENSG00000284694,0,0,0,0,0,0
ENSG00000224387,0,2,2,3,3,0
ENSG00000142583,310,357,391,259,259,256
ENSG00000284674,0,0,0,0,0,0
ENSG00000224338,0,0,0,0,0,0
ENSG00000287727,2,0,2,2,2,0
ENSG00000286448,0,0,0,0,0,0
ENSG00000284703,0,0,0,0,0,0
ENSG00000226457,0,4,2,2,2,4
ENSG00000173614,183,160,198,218,218,176
ENSG00000215720,0,0,0,0,0,0
ENSG00000241326,0,0,0,0,0,0
ENSG00000233623,1,1,2,0,0,2
ENSG00000162592,0,0,0,0,0,1
ENSG00000204624,8,10,9,4,4,8
ENSG00000142606,6,73,37,34,34,42
ENSG00000225931,4,23,21,18,18,15
ENSG00000171729,179,160,128,188,188,154
ENSG00000279457,141,240,125,156,156,189
ENSG00000229393,0,2,0,5,5,1
ENSG00000037637,2,463,415,387,387,379
ENSG00000287586,4,2,0,0,0,0
ENSG00000159423,193,190,182,168,168,151
ENSG00000227169,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0
ENSG00000157916,1174,1262,1140,1040,1040,1025
ENSG00000157881,8,697,645,696,696,720
ENSG00000238290,9,12,8,12,12,8
ENSG00000225387,0,0,0,0,0,0
ENSG00000048707,1581,1694,989,1190,1190,1280
ENSG00000225196,0,0,0,0,0,0
ENSG00000162444,2,2,6,0,0,0
ENSG00000279625,0,0,0,0,0,0
ENSG00000180758,134,123,173,192,192,174
ENSG00000184677,2914,3426,2666,2551,2551,2213
ENSG00000288398,0,85,119,102,102,84
ENSG00000224621,19,33,42,21,21,26
ENSG00000285833,0,0,0,0,0,0
ENSG00000131697,458,409,307,327,327,289
ENSG00000284692,0,0,0,0,0,0
ENSG00000284745,0,0,0,0,0,0
ENSG00000280222,0,0,0,0,0,0
ENSG00000285945,0,0,0,0,0,0
ENSG00000197921,6,20,38,29,29,41
ENSG00000233755,0,0,0,0,0,0
ENSG00000233929,0,0,0,0,0,0
ENSG00000234166,0,0,0,0,0,0
ENSG00000235282,0,0,0,0,0,0
ENSG00000055070,17,4064,3304,2874,2874,3035
ENSG00000175087,180,217,244,184,184,155
ENSG00000230035,0,0,0,0,0,0
ENSG00000225643,18,11,9,6,6,9
